task_id,client,title,hours,budget,window,months,has_unit,flag
fc0fe856-8894-4550-a396-c3b866160eb8,Ception,One pager small change - 0.5h,0.5,,2022-03 → 2022-04,2,yes,
614fbaca-e108-404d-925a-8b323ee41041,Ception,Animation (64h) - 105.75,105.75,64,2022-04 → 2022-11,8,yes,
c1afec46-e7cb-4344-aa90-35af27b3a73b,Ception,Storyboard (6h) - 5.75h,5.75,6,2022-05 → 2022-11,7,yes,
3f6f0b09-9717-469a-85ff-27e088f7b7a9,Ception,Rosh Hashana Banner (3h) - 5.25h,5.25,3,2022-09 → 2022-12,4,yes,
9fca7789-1fff-4eef-bda1-ba1a0d3c4292,Ception,Linkedin Banner (3h) - 0.5h,0.5,3,2022-09 → 2022-12,4,yes,budget-vs-actual-far
be7f0d56-38f6-4ce5-a697-dc6559928fce,Ception,Caption - Video - 1h,1,,2022-09 → 2022-11,3,yes,
b86b45cb-6758-40e0-ae4c-0ad461c41041,Ception,Bauma Booth (10h) - 9.75h,9.75,10,2022-10 → 2022-11,2,yes,
38b9bec8-abb9-40cc-998a-34a6192632d6,Ception,One pager (10-12) -14h,14,12,2021-08 → 2021-09,2,yes,budget-range
8610e2ea-2154-4b65-a9ff-464671ce18c6,Ception,Booth (5) - 11.75h,11.75,5,2021-08 → 2021-09,2,yes,
0bb81f49-0972-449e-b30f-ff4c09a202c5,Ception,New Visual (8-10h) - 11.75h,11.75,10,2021-07 → 2021-08,2,yes,budget-range
66d18e8b-7751-4dcc-81c2-08a6beb6bed5,Ception,One pager web (2-3) -2.5h,2.5,3,2021-08 → 2021-09,2,yes,budget-range
850cd8ba-e80a-4a1b-8260-fea7cccc87f1,Ception,Office design - 2.5hrs,2.5,,2021-07 → 2021-08,2,yes,
39eaf356-becc-4195-85f5-25456284315e,Ception,Happy New Year (2) - 3h,3,2,2021-09 → 2021-09,1,yes,
cf75709f-f19a-42b4-a616-6aafab62f0fc,Ception,Image update careers page - 1h,1,,2022-04 → 2022-11,8,yes,
